12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:31 WARNING: MalletXY_in: buffer empty
12月 16 07:59:31 WARNING: ArmXY_in: buffer empty
12月 16 07:59:31 WARNING: PuckXY_in: buffer empty
12月 16 07:59:32 WARNING: MalletXY_in: buffer empty
12月 16 07:59:32 WARNING: ArmXY_in: buffer empty
12月 16 07:59:32 WARNING: PuckXY_in: buffer empty
12月 16 07:59:32 WARNING: MalletXY_in: buffer empty
12月 16 07:59:32 WARNING: ArmXY_in: buffer empty
12月 16 07:59:32 WARNING: PuckXY_in: buffer empty
12月 16 07:59:32 WARNING: MalletXY_in: buffer empty
12月 16 07:59:32 WARNING: ArmXY_in: buffer empty
12月 16 07:59:32 WARNING: PuckXY_in: buffer empty
